Metric,Value
N_patients,501
N_events,181
GAM_mean_C,0.6337403490044884
GAM_std_C,0.049682196598769164
GAM_pooled_C,0.6245964674192421
GAM_CI_low,0.5752067187170664
GAM_CI_high,0.6728346012376634
Linear_mean_C,0.6273507221615015
Linear_pooled_C,0.6184689408426377
GAM_vs_linear_mean,0.00638962684298694
GAM_vs_linear_pooled,0.006127526576604425
GAM_vs_linear_CI_low,-0.013222069680858489
GAM_vs_linear_CI_high,0.02460360907906566
LogRank_Low_vs_High_p,6.940991589119042e-05
KM_significance,***
RSF_mean_C,0.6193296082035629
GBS_mean_C,0.6053387171316471
XGB_mean_C,0.6024288973744188
DS_mean_C,0.6359972500730137
